TC,T1,T2,FL,GMM
sub-A001/ses-BRATS/anat/sub-A001_ses-BRATS_ce_T1w.nii.gz,sub-A001/ses-BRATS/anat/sub-A001_ses-BRATS_T1w.nii.gz,sub-A001/ses-BRATS/anat/sub-A001_ses-BRATS_T2w.nii.gz,sub-A001/ses-BRATS/anat/sub-A001_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A001/anat/healthygmm.nii.gz
sub-A002/ses-BRATS/anat/sub-A002_ses-BRATS_ce_T1w.nii.gz,sub-A002/ses-BRATS/anat/sub-A002_ses-BRATS_T1w.nii.gz,sub-A002/ses-BRATS/anat/sub-A002_ses-BRATS_T2w.nii.gz,sub-A002/ses-BRATS/anat/sub-A002_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A002/anat/healthygmm.nii.gz
sub-A003/ses-BRATS/anat/sub-A003_ses-BRATS_ce_T1w.nii.gz,sub-A003/ses-BRATS/anat/sub-A003_ses-BRATS_T1w.nii.gz,sub-A003/ses-BRATS/anat/sub-A003_ses-BRATS_T2w.nii.gz,sub-A003/ses-BRATS/anat/sub-A003_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A003/anat/healthygmm.nii.gz
sub-A004/ses-BRATS/anat/sub-A004_ses-BRATS_ce_T1w.nii.gz,sub-A004/ses-BRATS/anat/sub-A004_ses-BRATS_T1w.nii.gz,sub-A004/ses-BRATS/anat/sub-A004_ses-BRATS_T2w.nii.gz,sub-A004/ses-BRATS/anat/sub-A004_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A004/anat/healthygmm.nii.gz
sub-A005/ses-BRATS/anat/sub-A005_ses-BRATS_ce_T1w.nii.gz,sub-A005/ses-BRATS/anat/sub-A005_ses-BRATS_T1w.nii.gz,sub-A005/ses-BRATS/anat/sub-A005_ses-BRATS_T2w.nii.gz,sub-A005/ses-BRATS/anat/sub-A005_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A005/anat/healthygmm.nii.gz
sub-A006/ses-BRATS/anat/sub-A006_ses-BRATS_ce_T1w.nii.gz,sub-A006/ses-BRATS/anat/sub-A006_ses-BRATS_T1w.nii.gz,sub-A006/ses-BRATS/anat/sub-A006_ses-BRATS_T2w.nii.gz,sub-A006/ses-BRATS/anat/sub-A006_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A006/anat/healthygmm.nii.gz
sub-A007/ses-BRATS/anat/sub-A007_ses-BRATS_ce_T1w.nii.gz,sub-A007/ses-BRATS/anat/sub-A007_ses-BRATS_T1w.nii.gz,sub-A007/ses-BRATS/anat/sub-A007_ses-BRATS_T2w.nii.gz,sub-A007/ses-BRATS/anat/sub-A007_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A007/anat/healthygmm.nii.gz
sub-A008/ses-BRATS/anat/sub-A008_ses-BRATS_ce_T1w.nii.gz,sub-A008/ses-BRATS/anat/sub-A008_ses-BRATS_T1w.nii.gz,sub-A008/ses-BRATS/anat/sub-A008_ses-BRATS_T2w.nii.gz,sub-A008/ses-BRATS/anat/sub-A008_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A008/anat/healthygmm.nii.gz
sub-A009/ses-BRATS/anat/sub-A009_ses-BRATS_ce_T1w.nii.gz,sub-A009/ses-BRATS/anat/sub-A009_ses-BRATS_T1w.nii.gz,sub-A009/ses-BRATS/anat/sub-A009_ses-BRATS_T2w.nii.gz,sub-A009/ses-BRATS/anat/sub-A009_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A009/anat/healthygmm.nii.gz
sub-A010/ses-BRATS/anat/sub-A010_ses-BRATS_ce_T1w.nii.gz,sub-A010/ses-BRATS/anat/sub-A010_ses-BRATS_T1w.nii.gz,sub-A010/ses-BRATS/anat/sub-A010_ses-BRATS_T2w.nii.gz,sub-A010/ses-BRATS/anat/sub-A010_ses-BRATS_FLAIR.nii.gz,derivatives/gmm/sub-A010/anat/healthygmm.nii.gz
